INC0000074,2016-02-29 08:23:00,2016-04-11 14:39:00,2 - Medium,3 - Moderate,Category 45,Group 66,t,1014.2666666666667,Authentication Failure,Morning,8,Monday,February,Yes
INC0000084,2016-02-29 08:39:00,2016-04-12 14:46:00,3 - Low,4 - Low,Category 45,Group 66,t,1038.1166666666666,Authentication Failure,Morning,8,Monday,February,No
INC0000173,2016-02-29 10:36:00,2016-04-11 14:49:00,3 - Low,4 - Low,Category 55,Group 65,t,1012.2166666666667,Network Failure,Morning,10,Monday,February,No
INC0000298,2016-02-29 14:16:00,2016-11-25 08:07:00,3 - Low,4 - Low,Category 53,Group 66,t,6473.85,Authentication Failure,Morning,14,Monday,February,No
INC0000307,2016-02-29 14:30:00,2016-12-19 14:55:00,3 - Low,4 - Low,Category 45,Group 66,t,7056.416666666667,Authentication Failure,Morning,14,Monday,February,No
INC0000317,2016-02-29 14:40:00,2016-04-25 17:06:00,3 - Low,4 - Low,Category 45,Group 66,t,1346.4333333333334,Authentication Failure,Morning,14,Monday,February,No
INC0000324,2016-02-29 14:47:00,2016-06-16 09:34:00,2 - Medium,4 - Low,Category 45,Group 31,t,2586.7833333333333,Authentication Failure,Morning,14,Monday,February,No
INC0000333,2016-02-29 14:56:00,2016-04-29 09:41:00,3 - Low,4 - Low,Category 45,Group 66,t,1434.75,Authentication Failure,Morning,14,Monday,February,No
INC0000337,2016-02-29 15:07:00,2016-05-30 12:23:00,2 - Medium,3 - Moderate,Category 45,Group 66,t,2181.266666666667,Authentication Failure,Evening,15,Monday,February,Yes
INC0000341,2016-02-29 15:13:00,2016-08-02 14:33:00,3 - Low,4 - Low,Category 45,Group 66,t,3719.3333333333335,Authentication Failure,Evening,15,Monday,February,No
INC0000343,2016-02-29 15:14:00,2016-12-22 09:31:00,2 - Medium,4 - Low,Category 45,Group 31,t,7122.283333333334,Network Failure,Evening,15,Monday,February,No
INC0000346,2016-02-29 15:17:00,2016-04-29 09:45:00,2 - Medium,3 - Moderate,Category 45,Group 66,t,1434.4666666666667,Authentication Failure,Evening,15,Monday,February,Yes
