INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,2 - Medium,3 - Moderate,Category 55,Group 56,t,10.216666666666667,Server Overload,Night,1,Monday,February,No,2.417400767422627
INC0000047,2016-02-29 04:40:00,2016-03-01 09:52:00,2 - Medium,3 - Moderate,Category 40,Group 24,t,29.2,Server Overload,Night,4,Monday,February,No,3.407841924380824
INC0000057,2016-02-29 06:10:00,2016-03-01 02:55:00,2 - Medium,3 - Moderate,Category 20,Group 70,t,20.75,Third-Party Service Failure,Night,6,Monday,February,No,3.079613757534693
INC0000060,2016-02-29 06:38:00,2016-03-02 12:06:00,2 - Medium,3 - Moderate,Category 9,Group 25,t,53.46666666666667,Application Bug,Night,6,Monday,February,No,3.997588893757793
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2 - Medium,3 - Moderate,Category 53,Group 23,t,8.883333333333333,API Timeout,Night,6,Monday,February,No,2.290849836775625
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,2 - Medium,3 - Moderate,Category 20,Group 23,t,8.883333333333333,API Timeout,Morning,7,Monday,February,No,2.290849836775625
INC0000064,2016-02-29 07:10:00,2016-03-03 16:00:00,2 - Medium,3 - Moderate,Category 53,Group 28,t,80.83333333333333,Authentication Failure,Morning,7,Monday,February,No,4.404684658566466
INC0000065,2016-02-29 07:38:00,2016-03-02 15:21:00,2 - Medium,3 - Moderate,Category 44,Group 33,t,55.71666666666667,Network Failure,Morning,7,Monday,February,No,4.038068112278805
INC0000066,2016-02-29 08:03:00,2016-03-02 14:37:00,2 - Medium,3 - Moderate,Category 55,Group 54,t,54.56666666666667,Server Overload,Morning,8,Monday,February,No,4.017583501088638
INC0000067,2016-02-29 08:03:00,2016-03-02 11:11:00,2 - Medium,3 - Moderate,Category 9,Group 28,t,51.13333333333333,Network Failure,Morning,8,Monday,February,No,3.953804539443101
INC0000070,2016-02-29 08:11:00,2016-03-08 09:55:00,2 - Medium,3 - Moderate,Category 9,Group 29,t,193.73333333333332,Data Corruption,Morning,8,Monday,February,Yes,5.271631101285531
INC0000071,2016-02-29 08:12:00,2016-03-01 10:38:00,2 - Medium,3 - Moderate,Category 9,Group 24,t,26.433333333333334,Server Overload,Morning,8,Monday,February,No,3.3117588190149143
INC0000073,2016-02-29 08:22:00,2016-03-01 15:37:00,2 - Medium,3 - Moderate,Category 53,Group 54,t,31.25,Data Corruption,Morning,8,Monday,February,No,3.4735180432417816
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,2 - Medium,3 - Moderate,Category 42,Group 23,t,8.033333333333333,Server Overload,Morning,8,Monday,February,No,2.2009214392175456
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,2 - Medium,3 - Moderate,Category 32,Group 70,t,0.6166666666666667,Authentication Failure,Morning,8,Monday,February,No,0.4803664162812822
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,2 - Medium,3 - Moderate,Category 8,Group 65,t,2.8,Authentication Failure,Morning,8,Monday,February,No,1.33500106673234
INC0000080,2016-02-29 08:33:00,2016-03-02 11:40:00,2 - Medium,3 - Moderate,Category 32,Group 70,t,51.11666666666667,Authentication Failure,Morning,8,Monday,February,No,3.953484795235741
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,3 - Low,4 - Low,Category 24,Group 23,t,7.433333333333334,API Timeout,Morning,8,Monday,February,No,2.132192107065365
INC0000085,2016-02-29 08:41:00,2016-03-02 14:44:00,2 - Medium,3 - Moderate,Category 20,Group 54,t,54.05,API Timeout,Morning,8,Monday,February,No,4.008241863168689
INC0000086,2016-02-29 08:43:00,2016-03-01 15:45:00,2 - Medium,3 - Moderate,Category 24,Group 23,t,31.033333333333335,API Timeout,Morning,8,Monday,February,No,3.466777027308137
INC0000087,2016-02-29 08:47:00,2016-03-02 14:46:00,2 - Medium,3 - Moderate,Category 53,Group 54,t,53.983333333333334,API Timeout,Morning,8,Monday,February,No,4.007030109006481
INC0000088,2016-02-29 08:48:00,2016-02-29 09:05:00,2 - Medium,3 - Moderate,Category 42,Group 70,t,0.2833333333333333,Authentication Failure,Morning,8,Monday,February,No,0.24946085963158315
INC0000089,2016-02-29 08:51:00,2016-03-03 14:35:00,2 - Medium,4 - Low,Category 42,Group 33,t,77.73333333333333,Network Failure,Morning,8,Monday,February,No,4.366066615095153
INC0000092,2016-02-29 08:55:00,2016-03-07 08:45:00,2 - Medium,3 - Moderate,Category 53,Group 72,t,167.83333333333334,Server Overload,Morning,8,Monday,February,No,5.128912035020629
INC0000094,2016-02-29 08:58:00,2016-03-10 10:45:00,3 - Low,4 - Low,Category 45,Group 66,t,241.78333333333333,Authentication Failure,Morning,8,Monday,February,No,5.492169413226847
